Date	Rain	Temperature	MaxTemp	MinTemp	Exposure
22/11/2007	0	18.25	30.2	6.3	33.1
23/11/2007	0	21.15	29.8	12.5	33
24/11/2007	0	20.25	29	11.5	32.3
25/11/2007	0	18.25	22	14.5	16
26/11/2007	0	17.80	22	13.6	25.6
27/11/2007	0	16.95	25.1	8.8	30.5
28/11/2007	0	20.50	29.9	11.1	32.5
29/11/2007	0	18.70	23.2	14.2	25.4
30/11/2007	0.8	16.05	20.9	11.2	27.1
1/12/2007	9	14.35	16.6	12.1	13.4
2/12/2007	0.6	15.55	19.9	11.2	18.7
3/12/2007	0.8	15.00	19.5	10.5	20.1
4/12/2007	2	15.80	22.6	9	21.1
5/12/2007	0.3	13.85	16.4	11.3	12.7
6/12/2007	23	11.35	16.1	6.6	17.6
7/12/2007	0.8	15.10	18.9	11.3	15.3
8/12/2007	6	15.10	18.8	11.4	24
9/12/2007	0	17.00	23.3	10.7	27.6
10/12/2007	0	17.90	28	7.8	31.5
11/12/2007	0	21.25	31.4	11.1	23.6
12/12/2007	0	17.40	21.3	13.5	14.8
13/12/2007	1.6	15.20	17.3	13.1	11.4
14/12/2007	0.6	13.70	18	9.4	17.8
15/12/2007	0	16.25	21.5	11	22.9
16/12/2007	0.8	15.10	17.7	12.5	3.8
17/12/2007	15.6	18.25	22	14.5	18.1
18/12/2007	3.4	18.00	21.5	14.5	17.1
19/12/2007	0.3	18.10	22.6	13.6	27.1
20/12/2007	0.6	16.90	22.3	11.5	27.4
21/12/2007	0.1	14.25	18	10.5	18.7
22/12/2007	0.6	17.05	22.1	12	19.5
23/12/2007	0	19.75	28	11.5	31.9
24/12/2007	0	22.30	32	12.6	33.6
25/12/2007	0	25.80	36.1	15.5	33.6
26/12/2007	0	28.20	40.4	16	33
27/12/2007	0	22.05	25.6	18.5	20.4
28/12/2007	0	18.10	22	14.2	24.7
29/12/2007	0	18.50	27	10	32.2
30/12/2007	0	16.60	22.7	10.5	23.2
31/12/2007	0	17.65	23	12.3	31
1/01/2008	0	19.60	29.4	9.8	33
2/01/2008	0	20.45	26.8	14.1	9.9
3/01/2008	0.8	24.05	32	16.1	11.8
4/01/2008	0.8	19.20	24.5	13.9	27.7
5/01/2008	0	16.65	23.1	10.2	29.4
6/01/2008	0	19.50	28	11	34.1
7/01/2008	0	21.50	31	12	33.2
8/01/2008	0	24.25	33.6	14.9	25
9/01/2008	0	19.90	24.5	15.3	19.8
10/01/2008	4	16.60	21.2	12	29.2
11/01/2008	1.2	16.80	23	10.6	27
12/01/2008	0	18.00	21.8	14.2	17.3
13/01/2008	0.4	20.25	27.2	13.3	32.5
14/01/2008	0	19.00	24.7	13.3	28.5
15/01/2008	0.4	18.00	22.7	13.3	27.7
16/01/2008	0	21.05	30.7	11.4	32.5
17/01/2008	0	25.30	35.1	15.5	31.7
18/01/2008	0	20.10	22.9	17.3	10.3
19/01/2008	0.6	19.25	22.9	15.6	13.5
20/01/2008	0	20.05	24.5	15.6	19.4
21/01/2008	0.4	18.90	22.6	15.2	16.1
22/01/2008	0	20.15	28	12.3	32
23/01/2008	0	21.40	30.4	12.4	31.4
24/01/2008	0	23.75	33	14.5	31.5
25/01/2008	0	23.05	30.7	15.4	28.4
26/01/2008	0	21.50	26	17	28.8
27/01/2008	0	19.75	28	11.5	30.2
28/01/2008	0	21.15	27.5	14.8	30
29/01/2008	0	20.40	25.5	15.3	23.6
30/01/2008	0.1	18.35	21.8	14.9	16.5
31/01/2008	0	21.50	28.8	14.2	29.4
1/02/2008	0	20.90	26.5	15.3	22.3
2/02/2008	0	21.60	26.4	16.8	18.3
3/02/2008	0	21.15	24.6	17.7	12
4/02/2008	0.8	21.10	26.2	16	16.7
5/02/2008	0.1	25.65	34.8	16.5	28.2
6/02/2008	0	25.55	33.3	17.8	29.3
7/02/2008	0	23.80	32	15.6	24.2
8/02/2008	2.2	22.30	28.7	15.9	18.9
9/02/2008	0.2	23.05	30	16.1	26
10/02/2008	0	24.40	32.5	16.3	28.5
11/02/2008	0	23.35	29.3	17.4	27.2
12/02/2008	0	24.35	30.8	17.9	28.8
13/02/2008	0	24.95	33.3	16.6	29.4
14/02/2008	0	28.00	36.5	19.5	27.4
15/02/2008	1.8	19.40	21	17.8	9.8
16/02/2008	3.4	22.15	26.5	17.8	20.9
17/02/2008	0.4	19.70	21.9	17.5	9.2
18/02/2008	3	15.90	20.4	11.4	13.8
19/02/2008	0.8	15.05	20.4	9.7	20.7
20/02/2008	0	16.55	22.6	10.5	21.2
21/02/2008	0	15.70	22	9.4	19.7
22/02/2008	0.4	16.75	22.1	11.4	24.9
23/02/2008	0	19.40	27.1	11.7	27.6
24/02/2008	0	20.55	29.6	11.5	28.5
25/02/2008	0	22.90	31.9	13.9	27.9
26/02/2008	0	23.25	32.4	14.1	25.1
27/02/2008	0	23.85	31.4	16.3	25.5
28/02/2008	0	27.40	37.9	16.9	15.5
29/02/2008	0	25.75	32.8	18.7	23.1
1/03/2008	0	22.25	25.5	19	15.4
2/03/2008	1.2	20.35	24.7	16	21.6
3/03/2008	0.2	20.65	26.8	14.5	19.8
4/03/2008	0	22.15	29.8	14.5	25.1
5/03/2008	0	24.85	33.5	16.2	25
6/03/2008	0	19.05	24	14.1	5.2
7/03/2008	2.4	18.55	20.2	16.9	5.4
8/03/2008	4.5	17.80	23.2	12.4	19.9
9/03/2008	0	18.30	20.5	16.1	8.5
10/03/2008	0	20.75	29	12.5	25
11/03/2008	0	21.65	29.8	13.5	23.3
12/03/2008	0	23.35	29	17.7	20.3
13/03/2008	2	17.30	19.3	15.3	14.7
14/03/2008	0.2	17.15	23.9	10.4	14.4
15/03/2008	0	17.35	23.8	10.9	16.3
16/03/2008	1.2	18.95	25.1	12.8	17.8
17/03/2008	0.8	19.15	23.1	15.2	13.3
18/03/2008	0.4	19.35	28.1	10.6	22.7
19/03/2008	0	18.60	26.6	10.6	20.7
20/03/2008	0	19.10	27.4	10.8	22.2
21/03/2008	0	21.35	29.5	13.2	21.6
22/03/2008	1	19.25	24.5	14	17.2
23/03/2008	0.2	15.80	20.8	10.8	15.8
24/03/2008	0	16.95	20.4	13.5	11.7
25/03/2008	0	16.95	24.4	9.5	20.4
26/03/2008	0	18.70	27	10.4	21.2
27/03/2008	0	19.80	28.7	10.9	20.7
28/03/2008	0	18.90	27	10.8	19.2
29/03/2008	0	17.25	24	10.5	18.5
30/03/2008	0	16.75	24	9.5	18.4
31/03/2008	0	14.80	18.7	10.9	2.7
1/04/2008	32	15.45	18.4	12.5	9
2/04/2008	0.2	15.50	21.2	9.8	17.8
3/04/2008	0	15.10	22.9	7.3	19.3
4/04/2008	0	17.50	26.9	8.1	18.9
5/04/2008	0	20.45	26.5	14.4	13.8
6/04/2008	10.4	20.60	24.7	16.5	14.9
7/04/2008	0	20.15	24.3	16	12.6
8/04/2008	14.8	17.05	20.1	14	15.8
9/04/2008	2	17.25	23.2	11.3	15.1
10/04/2008	10.2	16.25	19.5	13	11.9
11/04/2008	0.2	16.85	21	12.7	13.3
12/04/2008	0	16.60	24.7	8.5	18
13/04/2008	0	17.80	27.6	8	17.8
14/04/2008	0	20.15	29.7	10.6	17.1
15/04/2008	0	18.35	25.3	11.4	5.9
16/04/2008	3	19.40	23.6	15.2	9.1
17/04/2008	16.8	17.30	20.6	14	7.9
18/04/2008	10.4	16.50	20.1	12.9	10.4
19/04/2008	4.2	12.70	15.7	9.7	10.9
20/04/2008	18.1	13.45	17.1	9.8	7.8
21/04/2008	9.8	12.70	17.6	7.8	13.2
22/04/2008	2	15.65	20.9	10.4	11.9
23/04/2008	2.8	16.00	19	13	9.3
24/04/2008	3.4	15.15	19.2	11.1	10.4
25/04/2008	0	13.90	20.9	6.9	14.2
26/04/2008	1	14.55	19.3	9.8	10.7
27/04/2008	0	14.30	17.1	11.5	3.9
28/04/2008	1	17.75	23	12.5	10.6
29/04/2008	5.4	16.35	19.8	12.9	12.6
30/04/2008	7.4	13.10	18.4	7.8	12.8
1/05/2008	0.2	14.10	18.8	9.4	9.6
2/05/2008	0	14.80	20.3	9.3	10.9
3/05/2008	2.1	15.95	19.2	12.7	10.6
4/05/2008	0.2	14.75	18.8	10.7	9.9
5/05/2008	0	16.60	21.5	11.7	9
6/05/2008	0	16.95	23	10.9	13.5
7/05/2008	0	17.85	24.2	11.5	13
8/05/2008	0	17.70	21.4	14	6.6
9/05/2008	0.4	19.05	23.6	14.5	9.7
10/05/2008	6.2	16.95	18.8	15.1	5.2
11/05/2008	26.4	17.90	21.4	14.4	10.5
12/05/2008	1.4	16.10	21.6	10.6	9.2
13/05/2008	16.2	14.35	15.7	13	6.9
14/05/2008	14	11.75	15	8.5	7
15/05/2008	3.6	13.80	17.1	10.5	6.4
16/05/2008	3.2	13.60	15.8	11.4	8.1
17/05/2008	0.7	14.60	17.9	11.3	6.9
18/05/2008	0.6	14.95	17.7	12.2	5.9
19/05/2008	3.8	14.90	19.5	10.3	9.6
20/05/2008	0.6	13.85	19.5	8.2	9.9
21/05/2008	0.2	16.20	22.4	10	10.9
22/05/2008	14.8	16.30	22.4	10.2	4.3
23/05/2008	29.8	15.75	22.4	9.1	8.6
24/05/2008	7	17.20	22.4	12	4
25/05/2008	11.6	14.95	22.4	7.5	10.9
26/05/2008	0.1	15.25	22.4	8.1	7
27/05/2008	0.4	17.40	22.4	12.4	7.8
28/05/2008	25.4	15.05	15.8	14.3	3
29/05/2008	11.6	12.60	15.6	9.6	6.8
30/05/2008	0.8	14.90	20.2	9.6	8.9
31/05/2008	4.3	16.60	22	11.2	7.3
1/06/2008	5.4	14.80	17.6	12	7.9
2/06/2008	0.2	13.15	20	6.3	10.8
3/06/2008	0	13.20	19.6	6.8	10.8
4/06/2008	0.3	14.50	19.2	9.8	10.7
5/06/2008	0.1	12.20	16.9	7.5	10.9
6/06/2008	0.2	13.55	19.1	8	10.8
7/06/2008	0	13.05	18.3	7.8	9.5
8/06/2008	0	12.80	17	8.6	6.5
9/06/2008	8	12.45	12.9	12	3.4
10/06/2008	14.8	12.30	17.1	7.5	9.2
11/06/2008	13.4	13.45	18	8.9	8.3
12/06/2008	7.6	12.85	14.9	10.8	6.4
13/06/2008	2.2	13.25	16.8	9.7	9.5
14/06/2008	0.1	13.80	19.8	7.8	9.8
15/06/2008	14	12.40	13.6	11.2	3
16/06/2008	32.2	11.40	14.2	8.6	8.2
17/06/2008	14.2	11.85	14.6	9.1	7
18/06/2008	0.6	12.20	16.4	8	8.7
19/06/2008	0	12.20	19	5.4	9.8
20/06/2008	0.1	13.10	18.3	7.9	10.2
21/06/2008	0.2	11.75	18.5	5	10.4
22/06/2008	0	14.05	19.1	9	10.2
23/06/2008	0	14.25	20.4	8.1	9.7
24/06/2008	0	15.55	19.6	11.5	5.1
25/06/2008	11	13.20	16.1	10.3	8.1
26/06/2008	0	11.90	15.9	7.9	6.4
27/06/2008	0	11.30	14.8	7.8	3.4
28/06/2008	26	10.55	13.9	7.2	9.3
29/06/2008	20.2	11.30	14.2	8.4	7.8
30/06/2008	2.6	12.70	16.8	8.6	8.5
1/07/2008	3.6	11.95	16	7.9	6.5
2/07/2008	0.3	10.10	16.4	3.8	10.2
3/07/2008	0	12.05	18.4	5.7	8.7
4/07/2008	7.4	13.00	17	9	8.8
5/07/2008	16	10.50	13	8	7.9
6/07/2008	0.8	9.00	14	4	7.3
7/07/2008	0.2	11.45	16	6.9	10.2
8/07/2008	0	14.30	19.5	9.1	7.1
9/07/2008	5.2	12.00	13	11	4.7
10/07/2008	2.2	11.70	16	7.4	2.4
11/07/2008	26	10.40	13.2	7.6	7.5
12/07/2008	4.4	10.30	14.5	6.1	10.3
13/07/2008	4	11.20	15.6	6.8	7.7
14/07/2008	0.2	12.70	17.5	7.9	8.9
15/07/2008	4.8	12.35	15.1	9.6	3
16/07/2008	39.8	10.05	12.9	7.2	9.3
17/07/2008	8	10.45	15.4	5.5	10
18/07/2008	18.6	9.30	11	7.6	3.5
19/07/2008	19	8.65	12	5.3	9.7
20/07/2008	4	10.45	14.9	6	9.4
21/07/2008	0.6	9.50	15.8	3.2	11.4
22/07/2008	0	9.75	15.2	4.3	7
23/07/2008	16.1	10.70	14	7.4	3.4
24/07/2008	26.4	11.55	13.9	9.2	9.2
25/07/2008	10.4	10.05	14	6.1	8
26/07/2008	0.2	9.75	16.5	3	11.8
27/07/2008	0.8	11.50	16	7	6.5
28/07/2008	2.4	12.15	15.7	8.6	6.9
29/07/2008	9	10.15	14.5	5.8	9.4
30/07/2008	16	10.45	12.5	8.4	6.3
31/07/2008	21.8	7.80	11.8	3.8	8.5
1/08/2008	2.8	9.70	14.2	5.2	9.8
2/08/2008	21.8	10.15	13.2	7.1	10.5
3/08/2008	2.4	10.50	13.5	7.5	8.1
4/08/2008	0.2	11.35	17	5.7	12.5
5/08/2008	0	12.30	17.2	7.4	9.8
6/08/2008	0	12.70	18	7.4	9.4
7/08/2008	3.8	11.45	14.4	8.5	10.6
8/08/2008	0	9.35	14.6	4.1	11.2
9/08/2008	0.5	10.15	15.8	4.5	13.2
10/08/2008	0.1	12.05	16.3	7.8	14.1
11/08/2008	0	9.00	16.7	1.3	14.5
12/08/2008	0	10.00	17.2	2.8	14.3
13/08/2008	0	10.65	18.3	3	14.8
14/08/2008	0.2	10.90	18.3	3.5	15.2
15/08/2008	0	10.75	19.5	2	14.6
16/08/2008	0	12.50	22	3	15.5
17/08/2008	0	14.00	22	6	15.9
18/08/2008	0	15.20	21.1	9.3	15.2
19/08/2008	7.6	12.10	13.7	10.5	9.9
20/08/2008	2.8	10.00	14.7	5.3	12.6
21/08/2008	0.6	10.55	13.5	7.6	7.5
22/08/2008	0	10.50	16	5	16.5
23/08/2008	0	10.75	18.5	3	16.8
24/08/2008	0	10.95	18.9	3	12.3
25/08/2008	1	8.90	14.6	3.2	10.8
26/08/2008	0	10.25	15.9	4.6	14.1
27/08/2008	0	13.90	21.3	6.5	16.7
28/08/2008	0	13.65	19.5	7.8	13.6
29/08/2008	3.4	11.15	14.3	8	9.6
30/08/2008	21.8	8.65	12.6	4.7	14.6
31/08/2008	3	11.65	16	7.3	13.6
1/09/2008	18.8	12.30	14.8	9.8	10.2
2/09/2008	3.5	14.50	20.1	8.9	16.4
3/09/2008	0	13.30	20.3	6.3	16.2
4/09/2008	0.2	11.90	16.8	7	13.3
5/09/2008	0	11.15	15.6	6.7	10.8
6/09/2008	1.5	11.45	14	8.9	7.6
7/09/2008	0	11.00	16.3	5.7	16.1
8/09/2008	0	12.30	19.2	5.4	16
9/09/2008	0	12.15	18.9	5.4	17.8
10/09/2008	0	11.45	15.3	7.6	12
11/09/2008	13.4	13.85	16.5	11.2	9.5
12/09/2008	5.2	14.55	17.6	11.5	13.4
13/09/2008	20.6	10.75	14.5	7	13.9
14/09/2008	9.6	12.40	15.3	9.5	13.8
15/09/2008	1.8	12.35	16.8	7.9	13.9
16/09/2008	0.1	13.15	20.3	6	18.9
17/09/2008	15.4	13.10	15	11.2	14.6
18/09/2008	9.8	12.75	16.5	9	10.9
19/09/2008	13.6	12.90	16.5	9.3	16.2
20/09/2008	6	14.25	18.5	10	15
21/09/2008	8	8.75	13.5	4	12.4
22/09/2008	0.6	10.20	16.5	3.9	16.7
23/09/2008	0	11.05	19.1	3	17
24/09/2008	0	16.65	23	10.3	19.9
25/09/2008	15.8	11.20	12	10.4	4.6
26/09/2008	0.2	9.50	15.1	3.9	18.8
27/09/2008	0	11.65	17.1	6.2	16.2
28/09/2008	3.6	13.95	17.9	10	17.2
29/09/2008	5.7	15.45	21.5	9.4	21.4
30/09/2008	4.8	14.00	17	11	16
1/10/2008	1	16.15	19.8	12.5	13.5
2/10/2008	11.8	11.55	15.1	8	19.9
3/10/2008	1.8	11.70	18	5.4	20.8
4/10/2008	3	11.75	14	9.5	13.7
5/10/2008	8.5	11.55	15.5	7.6	11.5
6/10/2008	0.4	11.95	16.1	7.8	13.6
7/10/2008	0	11.95	18.8	5.1	20.1
8/10/2008	0	15.05	22.9	7.2	24.9
9/10/2008	1.6	12.65	16.8	8.5	17
10/10/2008	0.4	13.20	20	6.4	23.8
11/10/2008	0	12.90	18	7.8	15.7
12/10/2008	2.4	13.00	16.5	9.5	18.3
13/10/2008	1	13.15	18.8	7.5	19.9
14/10/2008	0	14.75	23.3	6.2	26.1
15/10/2008	0	19.70	28.3	11.1	24.9
16/10/2008	2.8	14.65	16	13.3	8.1
17/10/2008	2.6	15.25	20.5	10	19.7
18/10/2008	7.8	16.50	20.5	12.5	26.4
19/10/2008	0.1	17.40	26	8.8	27
20/10/2008	0	19.95	27.3	12.6	16.7
21/10/2008	2.6	20.15	25	15.3	16.7
22/10/2008	0	19.10	25	13.2	18.2
23/10/2008	3.6	18.70	21.4	16	5
24/10/2008	10.4	19.40	22.4	16.4	19.2
25/10/2008	16.9	14.30	16.8	11.8	17
26/10/2008	0.1	15.45	20	10.9	18.6
27/10/2008	0	14.80	20.2	9.4	18.6
28/10/2008	0.8	14.35	15.7	13	2.3
29/10/2008	11.8	14.15	15.6	12.7	8.5
30/10/2008	3.4	12.70	17.9	7.5	23.6
31/10/2008	1.6	13.35	19.1	7.6	23.8
1/11/2008	0.1	13.35	21.2	5.5	28.7
2/11/2008	0	16.60	23.6	9.6	24.9
3/11/2008	0	12.60	17.8	7.4	18.3
4/11/2008	15.2	12.85	17	8.7	21.3
5/11/2008	5.2	12.95	16	9.9	20.5
6/11/2008	23.4	10.50	14.4	6.6	16.3
7/11/2008	6.8	12.10	16.7	7.5	16.4
8/11/2008	0.6	15.20	19.6	10.8	18.6
9/11/2008	0.1	16.45	20.5	12.4	23.8
10/11/2008	0	15.20	18.7	11.7	12.7
11/11/2008	3.4	14.50	16.5	12.5	13
12/11/2008	0.2	13.70	17.5	9.9	18.5
13/11/2008	2	12.65	17.4	7.9	20
14/11/2008	0	13.90	19.2	8.6	26.1
15/11/2008	0	14.25	20.5	8	30.7
16/11/2008	0	15.85	21.7	10	30.1
17/11/2008	0	15.60	20.5	10.7	19.6
18/11/2008	0	14.50	22	7	25
19/11/2008	0	18.40	26.5	10.3	28.1
20/11/2008	0.6	15.30	17.6	13	7.1
21/11/2008	20.6	15.75	20	11.5	15.9
22/11/2008	20.5	17.85	22.2	13.5	19
23/11/2008	23.2	14.00	16.4	11.6	12.7
24/11/2008	16.8	16.70	21.3	12.1	20.7
25/11/2008	0.8	16.50	21.1	11.9	24.3
26/11/2008	1.6	15.70	20.4	11	14.8
27/11/2008	33	15.50	19	12	23.2
28/11/2008	2	15.05	21.4	8.7	28.7
29/11/2008	0	15.40	20.8	10	19.3
30/11/2008	1.3	14.05	18.5	9.6	24.9
1/12/2008	0	16.50	22	11	29.4
2/12/2008	0	17.40	25.2	9.6	28
3/12/2008	0	18.10	21.6	14.6	23.7
4/12/2008	0.6	16.80	20.4	13.2	19.2
5/12/2008	3.6	15.15	18.9	11.4	28.2
6/12/2008	0.1	15.55	22.6	8.5	30.2
7/12/2008	0	16.15	23.6	8.7	32.6
8/12/2008	0.8	15.60	20.5	10.7	23.5
9/12/2008	1.4	14.60	19.7	9.5	20.1
10/12/2008	2.4	14.45	20	8.9	22.7
11/12/2008	1.6	16.35	20.5	12.2	24.1
12/12/2008	0	16.50	22	11	23.1
13/12/2008	0	19.50	26	13	28.6
14/12/2008	0	22.35	31.2	13.5	32.7
15/12/2008	1.2	17.05	18.3	15.8	11.8
16/12/2008	1.6	17.20	21.5	12.9	22.2
17/12/2008	0	15.95	21.5	10.4	20.5
18/12/2008	0	18.45	25.6	11.3	33.1
19/12/2008	0	19.10	25.3	12.9	32.1
20/12/2008	1.1	18.55	21.1	16	7.5
21/12/2008	56.9	15.55	18.5	12.6	20.4
