NestID	Cohort	Helpers	Size	Date
125	2010	1	-0.729134133	28/11/2010
125	2010	1	-0.748388073	28/11/2010
125	2010	1	-0.498086853	28/11/2010
126	2010	2	-0.771115417	14/11/2010
126	2010	2	-1.229273193	14/11/2010
126	2010	2	-1.117686337	14/11/2010
127	2010	2	0.137756546	10/11/2010
127	2010	2	0.522835347	10/11/2010
128	2010	0	0.653676143	21/12/2010
128	2010	0	0.830898386	21/12/2010
128	2010	0	0.715374746	21/12/2010
129	2010	0	-0.208814373	13/12/2010
129	2010	0	-0.170306493	13/12/2010
130	2010	1	0.214772306	20/11/2010
130	2010	1	0.307105223	20/11/2010
131	2010	0	-0.54790224	10/11/2010
131	2010	0	-0.343591953	10/11/2010
132	2010	1	-0.070563388	2/11/2010
132	2010	1	0.295261472	2/11/2010
133	2010	1	0.341277184	31/12/2010
133	2010	1	0.938149324	31/12/2010
134	2010	1	-0.386036618	5/11/2010
134	2010	1	-0.289766918	5/11/2010
134	2010	1	-0.309020857	5/11/2010
135	2010	0	-0.617083897	29/10/2010
135	2010	0	0.542089286	29/10/2010
136	2010	1	0.557406443	3/11/2010
136	2010	1	0.634422201	3/11/2010
136	2010	1	0.657612926	3/11/2010
137	2010	2	-0.49309658	24/10/2010
137	2010	2	-0.423563873	24/10/2010
137	2010	2	-0.346548114	24/10/2010
138	2010	0	0.657612926	7/11/2010
138	2010	0	0.792390507	7/11/2010
139	2010	0	0.557406443	7/11/2010
139	2010	0	0.907914146	7/11/2010
139	2010	0	1.061945666	7/11/2010
140	2010	0	0.233562867	5/12/2010
140	2010	0	0.198991772	5/12/2010
141	2010	0	0.961739182	8/11/2010
141	2010	0	0.311042006	8/11/2010
142	2010	0	-0.285830133	11/11/2010
142	2010	0	0.095311882	11/11/2010
143	2010	0	-1.441066533	1/12/2010
144	2010	1	1.192786462	27/10/2010
144	2010	1	1.196723246	27/10/2010
145	2010	1	0.692184022	11/12/2010
145	2010	1	0.176264427	11/12/2010
146	2010	0	-0.944400877	5/12/2010
146	2010	0	0.272534126	5/12/2010
146	2010	0	0.542089286	5/12/2010
147	2010	1	0.461136741	13/11/2010
147	2010	1	1.404579802	13/11/2010
147	2010	1	0.850152326	13/11/2010
148	2010	1	0.153073702	15/12/2010
148	2010	1	-0.266576193	15/12/2010
149	2010	0	0.176264427	18/11/2010
149	2010	0	0.157010487	18/11/2010
149	2010	0	0.157010487	18/11/2010
150	2010	2	2.008862131	2/11/2010
150	2010	2	2.23990941	2/11/2010
150	2010	2	2.621051425	2/11/2010
151	2010	1	0.301192901	4/11/2010
151	2010	1	0.493732302	4/11/2010
152	2010	0	-1.079178456	8/11/2010
