"Date","Rain","Temp"
"11/10/1978",0.07,17.6
"12/10/1978",0,16.5
"13/10/1978",0.07,12
"14/10/1978",1.36,11.7
"15/10/1978",2.26,12.8
"16/10/1978",1.88,10.2
"17/10/1978",1.09,9.4
"18/10/1978",0.04,6.7
"19/10/1978",0.14,9.4
"20/10/1978",0.45,12.1
"21/10/1978",0.54,9.8
"22/10/1978",0.31,11.8
"23/10/1978",0.14,9.8
"24/10/1978",1.08,12.5
"25/10/1978",1.06,14
"26/10/1978",0.04,13.6
"27/10/1978",0,11.5
"28/10/1978",0,9.9
"29/10/1978",0.04,8.9
"30/10/1978",0.06,10.7
"31/10/1978",1.5,12.2
"1/11/1978",0.6,11.5
"2/11/1978",0.95,12.8
"3/11/1978",0.27,9
"4/11/1978",0.06,11.4
"5/11/1978",0.03,11.7
"6/11/1978",0.02,10.2
"7/11/1978",0.25,11.2
"8/11/1978",0.06,12.3
"9/11/1978",0,8.2
"10/11/1978",0.12,8.2
"11/11/1978",0.08,8.5
"12/11/1978",7.06,10
"13/11/1978",0.95,8.9
"14/11/1978",3.43,10.4
"15/11/1978",6.76,12.6
"16/11/1978",1.68,8.4
"17/11/1978",2.54,10.4
"18/11/1978",9.9,12.2
"19/11/1978",5.2,12.4
"20/11/1978",1.85,7.1
"21/11/1978",1.82,9
"22/11/1978",0.72,12
"23/11/1978",4.31,11.6
"24/11/1978",4.05,9.7
"25/11/1978",1.25,4
"26/11/1978",0.13,2.5
"27/11/1978",0.58,-0.4
"28/11/1978",0.33,-0.2
"29/11/1978",0.74,-0.4
"30/11/1978",0.47,-0.8
"1/12/1978",3.94,-1.2
"2/12/1978",1.76,1.8
"3/12/1978",7.99,4
"4/12/1978",0.3,6.2
"5/12/1978",0.06,1.5
"6/12/1978",0.54,1.3
"7/12/1978",13.17,4
"8/12/1978",8.82,6
"9/12/1978",7.45,9.8
"10/12/1978",9.45,10.3
"11/12/1978",6.29,11.4
"12/12/1978",11.24,9.5
"13/12/1978",7.66,7
"14/12/1978",6.56,5.5
"15/12/1978",2.94,4.8
"16/12/1978",0.67,4.3
"17/12/1978",0.15,2.4
"18/12/1978",0,-0.1
"19/12/1978",0.06,-2.4
"20/12/1978",3.65,-1.8
"21/12/1978",3.22,0
"22/12/1978",0.91,0.3
"23/12/1978",8.64,1.1
"24/12/1978",9.89,3.4
"25/12/1978",5.39,6.2
"26/12/1978",6.51,7
"27/12/1978",18.42,8.1
"28/12/1978",14.6,8.5
"29/12/1978",5.64,6.1
"30/12/1978",5.46,0.8
"31/12/1978",1.42,-3.5
"1/01/1979",1.97,-3.8
"2/01/1979",0.19,-2.7
"3/01/1979",0,-3.5
"4/01/1979",0.06,-2.5
"5/01/1979",0.06,-3.5
"6/01/1979",3.04,-0.9
"7/01/1979",3.6,1.7
"8/01/1979",1.64,5.4
"9/01/1979",9.67,3.1
"10/01/1979",3.09,2.2
"11/01/1979",1.06,2.1
"12/01/1979",0.06,0.3
"13/01/1979",0.49,-3.9
"14/01/1979",1.86,-2.6
"15/01/1979",0.36,2.6
"16/01/1979",3.21,4.2
"17/01/1979",3.06,1.3
"18/01/1979",0.66,0.8
"19/01/1979",14.25,0.2
"20/01/1979",3.36,1
"21/01/1979",0.28,-0.6
"22/01/1979",5.6,-1
"23/01/1979",2.09,-0.5
"24/01/1979",3.78,-1.4
"25/01/1979",6.95,-1.3
"26/01/1979",0.48,-1.2
"27/01/1979",0.87,-4.2
"28/01/1979",5.49,-4.3
"29/01/1979",3.49,-1
"30/01/1979",0.51,1
"31/01/1979",8.37,1.5
"1/02/1979",13.21,4.3
"2/02/1979",0.22,0.8
"3/02/1979",0.81,1.6
"4/02/1979",1.29,1.4
"5/02/1979",0.09,2.2
"6/02/1979",10.59,-0.1
"7/02/1979",1.45,0.7
"8/02/1979",1.82,0.2
"9/02/1979",2.7,0.8
"10/02/1979",1.78,1.1
"11/02/1979",4.82,1.5
"12/02/1979",6.08,0.8
"13/02/1979",6.62,1.9
"14/02/1979",2.25,-1.2
"15/02/1979",2.78,-3.4
"16/02/1979",0.38,-2.1
"17/02/1979",0.26,-1.4
"18/02/1979",1.65,-0.9
"19/02/1979",0.17,0.3
"20/02/1979",0.02,1.9
"21/02/1979",2.55,1.8
"22/02/1979",0.7,3.9
"23/02/1979",0,4.9
"24/02/1979",0,2.6
"25/02/1979",0.02,1.3
"26/02/1979",0.2,2.2
"27/02/1979",8.77,3.8
"28/02/1979",1.52,2.9
"1/03/1979",2.32,4.4
"2/03/1979",1.03,7
"3/03/1979",6.15,9.8
"4/03/1979",0.05,6.1
"5/03/1979",0.1,5.4
"6/03/1979",7.7,5.3
"7/03/1979",0.67,4.3
"8/03/1979",11.13,5.4
"9/03/1979",3.06,5.6
"10/03/1979",5.63,5.5
"11/03/1979",2.5,6.4
"12/03/1979",1.97,6.8
"13/03/1979",7.48,4.1
"14/03/1979",0.89,3.5
"15/03/1979",2.43,1.5
"16/03/1979",10.22,0.3
"17/03/1979",3.62,1.1
"18/03/1979",4,2.9
"19/03/1979",1.63,2.8
"20/03/1979",4.14,4.7
"21/03/1979",2.81,3.4
"22/03/1979",1.16,3.4
"23/03/1979",0,3.9
"24/03/1979",12.41,4.4
"25/03/1979",5.53,7.9
"26/03/1979",7.15,4.9
"27/03/1979",7.7,4.9
"28/03/1979",10.48,3.9
"29/03/1979",2.06,4.3
"30/03/1979",0.64,5.3
"31/03/1979",0.36,6.4
"1/04/1979",2.18,7
"2/04/1979",2.55,4.5
"3/04/1979",1.35,2.7
"4/04/1979",1.21,2.9
"5/04/1979",1.25,3.6
"6/04/1979",2.02,3.3
"7/04/1979",12.05,4.5
"8/04/1979",5.29,5.4
"9/04/1979",6.14,7.3
"10/04/1979",5.03,9.3
"11/04/1979",2.44,11.9
"12/04/1979",3.89,9.4
"13/04/1979",0.24,10.4
"14/04/1979",0.05,14
"15/04/1979",0,12
"16/04/1979",0,9.3
"17/04/1979",0,6.8
"18/04/1979",0,7.4
"19/04/1979",1.64,9.1
"20/04/1979",0.72,9.7
"21/04/1979",0.25,8.9
"22/04/1979",5.62,8.8
"23/04/1979",5.94,9.3
"24/04/1979",2.04,8.1
"25/04/1979",2.42,7.6
"26/04/1979",0.63,7.5
"27/04/1979",2.24,8.3
"28/04/1979",0.65,9
"29/04/1979",0.95,8.2
"30/04/1979",1.15,6.5
"1/05/1979",8,4.4
"2/05/1979",1.65,3.8
"3/05/1979",2.07,4.7
"4/05/1979",0.86,4.5
"5/05/1979",0.97,4
"6/05/1979",3.63,6
"7/05/1979",2.56,8.2
"8/05/1979",1.8,10.2
"9/05/1979",0.8,9.5
"10/05/1979",14.47,8.8
"11/05/1979",0.62,12.4
"12/05/1979",0.07,14.3
"13/05/1979",0,15.5
"14/05/1979",0.03,15.9
"15/05/1979",0.11,16.2
"16/05/1979",3.27,13.5
"17/05/1979",5.16,10
"18/05/1979",1.7,10.5
"19/05/1979",0.3,9.3
"20/05/1979",14.63,9.4
"21/05/1979",5.12,10.6
"22/05/1979",6.74,9.9
"23/05/1979",2.51,10.2
"24/05/1979",2.52,9.5
"25/05/1979",4.91,8.9
"26/05/1979",10.54,9.1
"27/05/1979",2.32,10.5
"28/05/1979",7.65,10.7
"29/05/1979",0.68,14.2
"30/05/1979",13.38,12
"31/05/1979",0.04,12.2
"1/06/1979",1.14,12.1
"2/06/1979",0.14,13.5
"3/06/1979",0.07,14
"4/06/1979",0.28,15
"5/06/1979",0.6,15.4
"6/06/1979",2.41,11.9
"7/06/1979",3.89,11.7
"8/06/1979",1.5,12
"9/06/1979",0.23,14.3
"10/06/1979",0.97,15
"11/06/1979",0.08,14
"12/06/1979",4.06,14
"13/06/1979",5.06,14.2
"14/06/1979",3.07,12.9
"15/06/1979",1.58,11.2
"16/06/1979",0,13.3
"17/06/1979",0,15.8
"18/06/1979",0,16.7
"19/06/1979",0,17.7
"20/06/1979",0,18.8
"21/06/1979",1.42,15.9
"22/06/1979",0.14,13.5
"23/06/1979",4.76,13.2
"24/06/1979",6.19,12.1
"25/06/1979",0.49,12.6
"26/06/1979",0.08,12.5
"27/06/1979",0.15,13.8
"28/06/1979",0.21,14.8
"29/06/1979",0.3,13.3
"30/06/1979",0,13
"1/07/1979",0,12.9
"2/07/1979",0,14.3
"3/07/1979",0,14.5
"4/07/1979",0,16.3
"5/07/1979",0,16.1
"6/07/1979",0.09,17.5
"7/07/1979",0.11,16.3
"8/07/1979",1.24,16.6
"9/07/1979",0,16.2
"10/07/1979",0,14.9
"11/07/1979",0.03,16.8
"12/07/1979",0.06,17.4
"13/07/1979",0.06,16.7
"14/07/1979",0.11,14.9
"15/07/1979",0.46,15.9
"16/07/1979",0.33,16.3
"17/07/1979",0.84,18.6
"18/07/1979",0.22,16.7
"19/07/1979",0.13,14.1
"20/07/1979",0.52,15.1
"21/07/1979",0.69,14.1
"22/07/1979",0,12.7
"23/07/1979",0.24,14.9
"24/07/1979",1.06,15.7
"25/07/1979",0.4,17.7
"26/07/1979",0.02,18.1
"27/07/1979",0.24,19.3
"28/07/1979",9.37,19.2
"29/07/1979",5.13,19
"30/07/1979",9.28,16.5
"31/07/1979",3.51,16.1
"1/08/1979",3.24,16.1
"2/08/1979",1.71,15.9
"3/08/1979",1.09,15.5
"4/08/1979",0.01,15.8
"5/08/1979",0.55,15.9
"6/08/1979",1.67,17.4
"7/08/1979",5.45,17.5
"8/08/1979",15.04,14.4
"9/08/1979",2.64,13.9
"10/08/1979",1.67,13.6
"11/08/1979",0.66,17.4
"12/08/1979",2.14,19.5
"13/08/1979",16.42,17.2
"14/08/1979",4.78,15.8
"15/08/1979",0.35,14.5
"16/08/1979",12.39,13.4
"17/08/1979",3.56,14.2
"18/08/1979",0.4,15.4
"19/08/1979",0.46,15.2
